@RELATION music

@ATTRIBUTE escala {C+,B,A,F+,E,D,E-,B-,F,G,C,A-,D-}
@ATTRIBUTE armadura {2/8,3/8,1/4,9/8,2/2,3/4,4/4,6/8,2/4}
@ATTRIBUTE g1 NUMERIC
@ATTRIBUTE g2 NUMERIC
@ATTRIBUTE g3 NUMERIC
@ATTRIBUTE g4 NUMERIC
@ATTRIBUTE g5 NUMERIC
@ATTRIBUTE g6 NUMERIC
@ATTRIBUTE g7 NUMERIC
@ATTRIBUTE g8 NUMERIC
@ATTRIBUTE g9 NUMERIC
@ATTRIBUTE g10 NUMERIC
@ATTRIBUTE g11 NUMERIC
@ATTRIBUTE g12 NUMERIC
@ATTRIBUTE acorde1 NUMERIC
@ATTRIBUTE acorde2 NUMERIC
@ATTRIBUTE acorde3 NUMERIC
@ATTRIBUTE acorde4 NUMERIC
@ATTRIBUTE acorde5 NUMERIC
@ATTRIBUTE RHSonidos NUMERIC
@ATTRIBUTE LHSonidos NUMERIC
@ATTRIBUTE AmbasSonidos NUMERIC
@ATTRIBUTE RHSilencios NUMERIC
@ATTRIBUTE LHSilencios NUMERIC
@ATTRIBUTE AmbasSilencios NUMERIC
@ATTRIBUTE MasRuidosa {R,L,B}
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE O3 NUMERIC
@ATTRIBUTE O4 NUMERIC
@ATTRIBUTE O5 NUMERIC
@ATTRIBUTE O6 NUMERIC
@ATTRIBUTE O7 NUMERIC
@ATTRIBUTE RHMasGrave NUMERIC
@ATTRIBUTE RHMasAguda NUMERIC
@ATTRIBUTE LHMasGrave NUMERIC
@ATTRIBUTE LHMasAguda NUMERIC
@ATTRIBUTE RHAmplitud NUMERIC
@ATTRIBUTE LHAmplitud NUMERIC
@ATTRIBUTE TotalAmplitud NUMERIC
@ATTRIBUTE Compositor {Bach,Mozart,Muzio,Beethoven,Debussy,Joplin}

@DATA
D,"3/8",6,2,2,0,2,3,0,10,6,1,4,0,10,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,9,8,14,5,0,0,62,81,42,64,19,22,39,Bach
D,"3/8",9,0,7,7,0,8,0,8,4,2,5,2,12,12,0,0,0,0.9167,1.0,1.0,0.0833,0.0,0.0,L,0,2,11,23,16,0,0,64,82,36,62,18,26,46,Bach
D,"3/8",5,0,5,5,0,7,0,6,3,1,0,6,8,15,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,1,17,5,15,0,0,67,82,45,61,15,16,37,Bach
D,"3/8",10,0,5,7,0,7,0,8,7,0,4,1,3,15,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,6,9,27,7,0,0,61,74,38,58,13,20,36,Bach
E-,"4/4",22,0,9,0,14,13,3,15,0,16,0,13,33,28,0,0,0,0.9375,0.9844,1.0,0.0625,0.0156,0.0,L,0,1,29,61,14,0,0,62,77,39,63,15,24,38,Bach
E-,"4/4",15,0,13,0,13,5,9,15,0,10,0,17,31,33,0,0,0,1.0,0.9688,1.0,0.0,0.0313,0.0,R,0,5,28,3,61,0,0,65,82,45,58,17,13,37,Bach
E-,"4/4",20,0,14,0,12,13,1,14,1,17,3,11,38,26,0,0,0,0.9375,1.0,1.0,0.0625,0.0,0.0,L,0,1,39,29,35,2,0,68,84,47,65,16,18,37,Bach
E-,"4/4",6,9,18,0,15,14,2,11,3,10,2,7,31,33,0,0,0,1.0,0.9688,1.0,0.0,0.0313,0.0,R,0,0,34,15,43,5,0,64,84,48,65,20,17,36,Bach
E-,"4/4",15,3,13,0,12,7,10,18,0,17,14,4,31,33,0,0,0,0.9688,1.0,1.0,0.0313,0.0,0.0,L,0,3,25,52,33,0,0,65,80,45,65,15,20,35,Bach
E-,"4/4",4,5,15,0,14,16,0,13,0,12,8,2,39,25,0,0,0,0.9688,0.9375,1.0,0.0313,0.0625,0.0,R,0,11,31,18,29,0,0,67,80,41,60,13,19,39,Bach
E-,"4/4",19,0,14,0,14,18,0,12,0,15,2,12,38,26,0,0,0,0.9688,0.9688,1.0,0.0313,0.0313,0.0,B,0,0,30,45,31,0,0,62,82,50,63,20,13,32,Bach
E-,"4/4",18,0,11,0,10,14,0,10,0,14,6,7,22,34,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,6,35,24,25,0,0,63,82,39,63,19,24,43,Bach
E,"3/8",10,0,5,0,8,7,0,7,0,5,2,6,22,6,0,0,0,0.9583,0.9167,1.0,0.0417,0.0833,0.0,R,0,0,7,32,11,0,0,63,76,52,64,13,12,24,Bach
E,"3/8",6,0,3,0,6,5,0,5,0,3,2,4,22,6,0,0,0,0.9167,0.9583,1.0,0.0833,0.0417,0.0,L,0,16,5,7,6,0,0,64,76,39,52,12,13,37,Bach
E,"3/8",11,0,6,0,5,2,2,7,0,8,0,8,19,7,0,0,0,0.9583,1.0,1.0,0.0417,0.0,0.0,L,0,3,8,19,19,0,0,64,80,39,61,16,22,41,Bach
E,"3/8",9,0,3,0,4,0,8,3,0,7,0,2,18,9,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,1,11,16,8,0,0,63,80,37,61,17,24,43,Bach
E,"3/8",7,0,10,0,2,2,3,16,0,6,0,11,17,12,0,0,0,0.8333,1.0,1.0,0.1667,0.0,0.0,L,1,4,19,21,12,0,0,59,83,35,59,24,24,48,Bach
E,"3/8",5,0,5,0,3,2,4,6,0,3,0,6,22,6,0,0,0,0.9167,0.9583,1.0,0.0833,0.0417,0.0,L,0,2,21,11,0,0,0,59,71,46,59,12,13,25,Bach
E,"3/8",9,0,7,0,5,4,4,8,0,5,0,8,22,6,0,0,0,0.9583,0.9167,1.0,0.0417,0.0833,0.0,R,0,2,11,12,25,0,0,70,83,47,59,13,12,36,Bach
E,"3/8",2,1,0,5,8,0,6,6,0,5,2,13,24,12,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,7,7,34,0,0,71,83,51,63,12,12,32,Bach
E,"3/8",10,0,6,0,5,3,2,8,2,9,0,9,22,8,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,7,20,27,0,0,70,81,54,63,11,9,27,Bach
E,"3/8",3,1,0,5,7,4,6,5,0,8,0,3,24,9,0,0,0,1.0,0.9167,1.0,0.0,0.0833,0.0,R,0,0,11,21,10,0,0,58,76,49,61,18,12,27,Bach
E,"3/8",7,0,5,1,10,4,1,6,0,6,2,5,17,7,0,0,0,0.9167,0.9583,1.0,0.0833,0.0417,0.0,L,0,4,15,21,7,0,0,56,73,44,56,17,12,29,Bach
E,"3/8",5,0,4,0,8,6,0,7,0,3,2,4,17,11,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,19,1,9,10,0,0,66,76,39,49,10,10,37,Bach
E,"3/8",8,0,10,0,10,10,0,9,0,4,0,7,16,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,2,19,29,8,0,0,63,78,47,61,15,14,31,Bach
E,"3/8",5,0,3,0,4,6,0,4,0,5,0,4,19,6,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,3,15,9,4,0,0,61,76,45,61,15,16,31,Bach
E,"3/8",11,0,7,0,10,9,0,6,0,5,0,7,21,9,0,0,0,1.0,0.9583,1.0,0.0,0.0417,0.0,R,0,0,19,23,13,0,0,63,78,49,64,15,15,29,Bach
